"","id","clust"
"288",57396,1
"289",57339,1
"290",57294,2
"291",57274,2
"292",40990,2
"293",57211,2
"294",57179,1
"295",57167,2
"296",57139,2
"297",57133,2
"298",57118,2
"299",57107,4
"300",56644,2
"301",56620,3
"302",57106,3
"303",57082,2
"304",57062,1
"305",57055,2
"306",57029,2
"307",57020,1
"308",57010,2
"309",57007,1
"310",56910,3
"311",56898,2
"312",54537,2
"313",56883,2
"314",56860,3
"315",56856,2
"316",56812,2
"317",56804,1
"318",56741,2
"319",56728,3
"320",56711,2
"321",56710,1
"322",56704,2
"323",56664,2
"324",56594,5
"325",56560,2
"326",56473,2
"327",56434,2
"328",56410,2
"329",56401,2
"330",56386,2
"331",56380,2
"332",56365,2
"333",56318,2
"334",56313,2
"335",56280,2
"336",56258,1
"337",56237,2
"338",56217,2
"339",56176,2
"340",56161,2
"341",56146,2
"342",54274,4
"343",56135,2
"344",56071,2
"345",56048,2
"346",56047,2
"347",54268,2
"348",56046,2
"349",55997,4
"350",55949,1
"351",55946,2
"352",55936,1
"353",30058,5
"354",55925,1
"355",55920,2
"356",55918,2
"357",55901,1
"358",55889,2
"359",55887,1
"360",1566,4
"361",55838,2
"362",55776,2
"363",55759,2
"364",55706,2
"365",55705,2
"366",55690,2
"367",55628,2
"368",55618,2
"369",55461,3
"370",55405,2
"371",55398,1
"372",1280,2
"373",55316,2
"374",55280,2
"375",55141,3
"376",55102,1
"377",55089,1
"378",55072,1
"379",54253,2
"380",838,2
"381",55014,2
"382",54945,1
"383",54932,2
"384",54926,2
"385",54905,2
"386",54888,2
"387",54869,1
"388",54169,2
"389",54849,3
"390",54823,2
"391",54703,2
"392",54620,2
"393",54604,2
"394",54044,2
"395",54434,2
"396",54403,2
"397",54393,2
"398",54364,2
"399",54161,2
"400",54111,2
"401",54105,1
"402",54098,1
"403",54049,2
"404",53768,1
"405",53634,1
"406",53562,2
"407",53516,2
"408",53461,2
"409",53450,2
"410",53442,2
"411",53441,1
"412",834,2
"413",53398,2
"414",53348,3
"415",53334,2
"416",53288,2
"417",53266,2
"418",53196,2
"419",53182,2
"420",53176,2
"421",53084,1
"422",53050,2
"423",53044,3
"424",52915,2
"425",52892,1
"426",52818,1
"427",52810,2
"428",52801,1
"429",52693,2
"430",52689,2
"431",52666,1
"432",52661,2
"433",52643,2
"434",52530,2
"435",52514,1
"436",52483,1
"437",52457,2
"438",52367,1
"439",52226,2
"440",52223,1
"441",52222,1
"442",52213,2
"443",52200,2
"444",52165,1
"445",52135,1
"446",52116,2
"447",52031,2
"448",51992,1
"449",51968,1
"450",51967,2
"451",51952,1
"452",51928,2
"453",51924,2
"454",51904,4
"455",51899,2
"456",51898,2
"457",51850,2
"458",51816,1
"459",51762,2
"460",51739,2
"461",51687,2
"462",51497,2
"463",51675,2
"464",51636,4
"465",51631,2
"466",51586,2
"467",51567,1
"468",51548,2
"469",51541,2
"470",51519,2
"471",51420,2
"472",51367,2
"473",51345,2
"474",51235,2
"475",51214,2
"476",51211,2
"477",49808,4
"478",51181,1
"479",51176,2
"480",51168,3
"481",51162,1
"482",51141,2
"483",51112,2
"484",51108,1
"485",51023,2
"486",51015,2
"487",50927,2
"488",50864,2
"489",50854,2
"490",50850,1
"491",49802,1
"492",50700,2
"493",50672,2
"494",50659,3
"495",50621,2
"496",50527,1
"497",50487,1
"498",50447,2
"499",50422,3
"500",50396,2
"501",50394,1
"502",50389,2
"503",46122,2
"504",45883,1
"505",50356,2
"506",50352,1
"507",50305,2
"508",50288,2
"509",23355,2
"510",50224,1
"511",50185,2
"512",50169,2
"513",50140,1
"514",50138,1
"515",50129,1
"516",50115,2
"517",23351,3
"518",50077,2
"519",50024,2
"520",50023,2
"521",49948,2
"522",49942,2
"523",49858,5
"524",49750,1
"525",49746,2
"526",49646,2
"527",49643,2
"528",49565,2
"529",23194,2
"530",49555,1
"531",49433,3
"532",49169,3
"533",49101,1
"534",48985,2
"535",48813,2
"536",48755,1
"537",48732,2
"538",48679,3
"539",48425,2
"540",48294,2
"541",48228,1
"542",47952,2
"543",47828,2
"544",47563,2
"545",47483,2
"546",47479,3
"547",46793,1
"548",46792,2
"549",46789,1
"550",46778,1
"551",46775,3
"552",46740,3
"553",46736,2
"554",46678,2
"555",46675,2
"556",46671,1
"557",46451,2
"558",38218,2
"559",38207,4
"560",36403,1
"561",35480,2
"562",33949,2
"563",33397,2
"564",32065,1
"565",29755,1
"566",31893,2
"567",31891,2
"568",31303,2
"569",31182,2
"570",30576,4
"571",30411,2
"572",29754,2
"573",29577,2
"574",29467,2
"575",28995,1
"576",28608,1
"577",27933,2
"578",27475,2
"579",27275,2
"580",25686,1
"581",25439,1
"582",25006,2
"583",24913,2
"584",24389,1
"585",23357,1
"586",24385,2
"587",24303,1
